x,y,ID
110.410999226188,-7.75199712041125,Pamella 6
110.409042266011,-7.77290253839007,Superindo Seturan
110.433135966011,-7.76626084460825,Lotte Mart Maguwoharjo
110.414551923683,-7.78300838222580,Manna Kampus Babarsasi
110.420004123683,-7.78287993217883,Transmart Carrefour Maguwoharjo
110.398893023683,-7.76062339754112,Hypermart Pakuwon Mall
110.400858335325,-7.78226735174174,Transmart Plaza Ambarrukmo
